Year,Series,Wins,Losses,Winner,Loser
2024,2024 World Series,4,1,"Los Angeles Dodgers (98-64, NL)","New York Yankees (94-68, AL)"
2024,2024 ALCS,4,1,"New York Yankees (94-68, AL)","Cleveland Guardians (92-69, AL)"
2024,2024 NLCS,4,2,"Los Angeles Dodgers (98-64, NL)","New York Mets* (89-73, NL)"
2024,2024 ALDS1,3,2,"Cleveland Guardians (92-69, AL)","Detroit Tigers* (86-76, AL)"
2024,2024 ALDS2,3,1,"New York Yankees (94-68, AL)","Kansas City Royals* (86-76, AL)"
2024,2024 NLDS1,3,1,"New York Mets* (89-73, NL)","Philadelphia Phillies (95-67, NL)"
2024,2024 NLDS2,3,2,"Los Angeles Dodgers (98-64, NL)","San Diego Padres* (93-69, NL)"
2024,2024 ALWC1,2,0,"Detroit Tigers* (86-76, AL)","Houston Astros (88-73, AL)"
2024,2024 NLWC1,2,1,"New York Mets* (89-73, NL)","Milwaukee Brewers (93-69, NL)"
2024,2024 ALWC2,2,0,"Kansas City Royals* (86-76, AL)","Baltimore Orioles* (91-71, AL)"
2024,2024 NLWC2,2,0,"San Diego Padres* (93-69, NL)","Atlanta Braves* (89-73, NL)"
2023,2023 World Series,4,1,"Texas Rangers* (90-72, AL)","Arizona Diamondbacks* (84-78, NL)"
2023,2023 ALCS,4,3,"Texas Rangers* (90-72, AL)","Houston Astros (90-72, AL)"
2023,2023 NLCS,4,3,"Arizona Diamondbacks* (84-78, NL)","Philadelphia Phillies* (90-72, NL)"
2023,2023 ALDS1,3,0,"Texas Rangers* (90-72, AL)","Baltimore Orioles (101-61, AL)"
2023,2023 ALDS2,3,1,"Houston Astros (90-72, AL)","Minnesota Twins (87-75, AL)"
2023,2023 NLDS1,3,1,"Philadelphia Phillies* (90-72, NL)","Atlanta Braves (104-58, NL)"
2023,2023 NLDS2,3,0,"Arizona Diamondbacks* (84-78, NL)","Los Angeles Dodgers (100-62, NL)"
2023,2023 ALWC1,2,0,"Texas Rangers* (90-72, AL)","Tampa Bay Rays* (99-63, AL)"
2023,2023 NLWC1,2,0,"Arizona Diamondbacks* (84-78, NL)","Milwaukee Brewers (92-70, NL)"
2023,2023 ALWC2,2,0,"Minnesota Twins (87-75, AL)","Toronto Blue Jays* (89-73, AL)"
2023,2023 NLWC2,2,0,"Philadelphia Phillies* (90-72, NL)","Miami Marlins* (84-78, NL)"
2022,2022 World Series,4,2,"Houston Astros (106-56, AL)","Philadelphia Phillies* (87-75, NL)"
2022,2022 ALCS,4,0,"Houston Astros (106-56, AL)","New York Yankees (99-63, AL)"
2022,2022 NLCS,4,1,"Philadelphia Phillies* (87-75, NL)","San Diego Padres* (89-73, NL)"
2022,2022 ALDS1,3,2,"New York Yankees (99-63, AL)","Cleveland Guardians (92-70, AL)"
2022,2022 ALDS2,3,0,"Houston Astros (106-56, AL)","Seattle Mariners* (90-72, AL)"
2022,2022 NLDS1,3,1,"Philadelphia Phillies* (87-75, NL)","Atlanta Braves (101-61, NL)"
2022,2022 NLDS2,3,1,"San Diego Padres* (89-73, NL)","Los Angeles Dodgers (111-51, NL)"
2022,2022 ALWC1,2,0,"Cleveland Guardians (92-70, AL)","Tampa Bay Rays* (86-76, AL)"
2022,2022 NLWC1,2,1,"San Diego Padres* (89-73, NL)","New York Mets* (101-61, NL)"
2022,2022 ALWC2,2,0,"Seattle Mariners* (90-72, AL)","Toronto Blue Jays* (92-70, AL)"
2022,2022 NLWC2,2,0,"Philadelphia Phillies* (87-75, NL)","St. Louis Cardinals (93-69, NL)"
2021,2021 World Series,4,2,"Atlanta Braves (88-73, NL)","Houston Astros (95-67, AL)"
2021,2021 ALCS,4,2,"Houston Astros (95-67, AL)","Boston Red Sox* (92-70, AL)"
2021,2021 NLCS,4,2,"Atlanta Braves (88-73, NL)","Los Angeles Dodgers* (106-56, NL)"
2021,2021 ALDS1,3,1,"Houston Astros (95-67, AL)","Chicago White Sox (93-69, AL)"
2021,2021 ALDS2,3,1,"Boston Red Sox* (92-70, AL)","Tampa Bay Rays (100-62, AL)"
2021,2021 NLDS1,3,1,"Atlanta Braves (88-73, NL)","Milwaukee Brewers (95-67, NL)"
2021,2021 NLDS2,3,2,"Los Angeles Dodgers* (106-56, NL)","San Francisco Giants (107-55, NL)"
2021,2021 ALWC,1,0,"Boston Red Sox* (92-70, AL)","New York Yankees* (92-70, AL)"
2021,2021 NLWC,1,0,"Los Angeles Dodgers* (106-56, NL)","St. Louis Cardinals* (90-72, NL)"
2020,2020 World Series,4,2,"Los Angeles Dodgers (43-17, NL)","Tampa Bay Rays (40-20, AL)"
2020,2020 ALCS,4,3,"Tampa Bay Rays (40-20, AL)","Houston Astros* (29-31, AL)"
2020,2020 NLCS,4,3,"Los Angeles Dodgers (43-17, NL)","Atlanta Braves (35-25, NL)"
2020,2020 ALDS1,3,2,"Tampa Bay Rays (40-20, AL)","New York Yankees* (33-27, AL)"
2020,2020 ALDS2,3,1,"Houston Astros* (29-31, AL)","Oakland Athletics (36-24, AL)"
2020,2020 NLDS1,3,0,"Los Angeles Dodgers (43-17, NL)","San Diego Padres* (37-23, NL)"
2020,2020 NLDS2,3,0,"Atlanta Braves (35-25, NL)","Miami Marlins* (31-29, NL)"
2020,2020 ALWC1,2,0,"Tampa Bay Rays (40-20, AL)","Toronto Blue Jays* (32-28, AL)"
2020,2020 NLWC1,2,0,"Los Angeles Dodgers (43-17, NL)","Milwaukee Brewers* (29-31, NL)"
2020,2020 ALWC2,2,0,"New York Yankees* (33-27, AL)","Cleveland Indians* (35-25, AL)"
2020,2020 NLWC2,2,1,"San Diego Padres* (37-23, NL)","St. Louis Cardinals* (30-28, NL)"
2020,2020 ALWC3,2,0,"Houston Astros* (29-31, AL)","Minnesota Twins (36-24, AL)"
2020,2020 NLWC3,2,0,"Miami Marlins* (31-29, NL)","Chicago Cubs (34-26, NL)"
2020,2020 ALWC4,2,1,"Oakland Athletics (36-24, AL)","Chicago White Sox* (35-25, AL)"
2020,2020 NLWC4,2,0,"Atlanta Braves (35-25, NL)","Cincinnati Reds* (31-29, NL)"
2019,2019 World Series,4,3,"Washington Nationals* (93-69, NL)","Houston Astros (107-55, AL)"
2019,2019 ALCS,4,2,"Houston Astros (107-55, AL)","New York Yankees (103-59, AL)"
2019,2019 NLCS,4,0,"Washington Nationals* (93-69, NL)","St. Louis Cardinals (91-71, NL)"
2019,2019 ALDS1,3,2,"Houston Astros (107-55, AL)","Tampa Bay Rays* (96-66, AL)"
2019,2019 ALDS2,3,0,"New York Yankees (103-59, AL)","Minnesota Twins (101-61, AL)"
2019,2019 NLDS1,3,2,"Washington Nationals* (93-69, NL)","Los Angeles Dodgers (106-56, NL)"
2019,2019 NLDS2,3,2,"St. Louis Cardinals (91-71, NL)","Atlanta Braves (97-65, NL)"
2019,2019 ALWC,1,0,"Tampa Bay Rays* (96-66, AL)","Oakland Athletics* (97-65, AL)"
2019,2019 NLWC,1,0,"Washington Nationals* (93-69, NL)","Milwaukee Brewers* (89-73, NL)"
2018,2018 World Series,4,1,"Boston Red Sox (108-54, AL)","Los Angeles Dodgers (92-71, NL)"
2018,2018 ALCS,4,1,"Boston Red Sox (108-54, AL)","Houston Astros (103-59, AL)"
2018,2018 NLCS,4,3,"Los Angeles Dodgers (92-71, NL)","Milwaukee Brewers (96-67, NL)"
2018,2018 ALDS1,3,1,"Boston Red Sox (108-54, AL)","New York Yankees* (100-62, AL)"
2018,2018 ALDS2,3,0,"Houston Astros (103-59, AL)","Cleveland Indians (91-71, AL)"
2018,2018 NLDS1,3,0,"Milwaukee Brewers (96-67, NL)","Colorado Rockies* (91-72, NL)"
2018,2018 NLDS2,3,1,"Los Angeles Dodgers (92-71, NL)","Atlanta Braves (90-72, NL)"
2018,2018 ALWC,1,0,"New York Yankees* (100-62, AL)","Oakland Athletics* (97-65, AL)"
2018,2018 NLWC,1,0,"Colorado Rockies* (91-72, NL)","Chicago Cubs* (95-68, NL)"
2017,2017 World Series,4,3,"Houston Astros (101-61, AL)","Los Angeles Dodgers (104-58, NL)"
2017,2017 ALCS,4,3,"Houston Astros (101-61, AL)","New York Yankees* (91-71, AL)"
2017,2017 NLCS,4,1,"Los Angeles Dodgers (104-58, NL)","Chicago Cubs (92-70, NL)"
2017,2017 ALDS1,3,2,"New York Yankees* (91-71, AL)","Cleveland Indians (102-60, AL)"
2017,2017 ALDS2,3,1,"Houston Astros (101-61, AL)","Boston Red Sox (93-69, AL)"
2017,2017 NLDS1,3,0,"Los Angeles Dodgers (104-58, NL)","Arizona Diamondbacks* (93-69, NL)"
2017,2017 NLDS2,3,2,"Chicago Cubs (92-70, NL)","Washington Nationals (97-65, NL)"
2017,2017 ALWC,1,0,"New York Yankees* (91-71, AL)","Minnesota Twins* (85-77, AL)"
2017,2017 NLWC,1,0,"Arizona Diamondbacks* (93-69, NL)","Colorado Rockies* (87-75, NL)"
2016,2016 World Series,4,3,"Chicago Cubs (103-58, NL)","Cleveland Indians (94-67, AL)"
2016,2016 ALCS,4,1,"Cleveland Indians (94-67, AL)","Toronto Blue Jays* (89-73, AL)"
2016,2016 NLCS,4,2,"Chicago Cubs (103-58, NL)","Los Angeles Dodgers (91-71, NL)"
2016,2016 ALDS1,3,0,"Toronto Blue Jays* (89-73, AL)","Texas Rangers (95-67, AL)"
2016,2016 ALDS2,3,0,"Cleveland Indians (94-67, AL)","Boston Red Sox (93-69, AL)"
2016,2016 NLDS1,3,1,"Chicago Cubs (103-58, NL)","San Francisco Giants* (87-75, NL)"
2016,2016 NLDS2,3,2,"Los Angeles Dodgers (91-71, NL)","Washington Nationals (95-67, NL)"
2016,2016 ALWC,1,0,"Toronto Blue Jays* (89-73, AL)","Baltimore Orioles* (89-73, AL)"
2016,2016 NLWC,1,0,"San Francisco Giants* (87-75, NL)","New York Mets* (87-75, NL)"
2015,2015 World Series,4,1,"Kansas City Royals (95-67, AL)","New York Mets (90-72, NL)"
2015,2015 ALCS,4,2,"Kansas City Royals (95-67, AL)","Toronto Blue Jays (93-69, AL)"
2015,2015 NLCS,4,0,"New York Mets (90-72, NL)","Chicago Cubs* (97-65, NL)"
2015,2015 ALDS1,3,2,"Kansas City Royals (95-67, AL)","Houston Astros* (86-76, AL)"
2015,2015 ALDS2,3,2,"Toronto Blue Jays (93-69, AL)","Texas Rangers (88-74, AL)"
2015,2015 NLDS1,3,1,"Chicago Cubs* (97-65, NL)","St. Louis Cardinals (100-62, NL)"
2015,2015 NLDS2,3,2,"New York Mets (90-72, NL)","Los Angeles Dodgers (92-70, NL)"
2015,2015 ALWC,1,0,"Houston Astros* (86-76, AL)","New York Yankees* (87-75, AL)"
2015,2015 NLWC,1,0,"Chicago Cubs* (97-65, NL)","Pittsburgh Pirates* (98-64, NL"
